,lend_rate,borrow_rate
2021-06-27,2.259619012991179,3.485146822645877
2021-06-26,2.233522204755516,3.322335136758424
2021-06-25,1.9387000691328211,3.3246014691011663
2021-06-24,1.929395926024017,3.316267950113789
2021-06-23,2.066866248589601,3.278918249052344
2021-06-22,2.161730473411044,3.313655088127387
2021-06-21,2.302276133983267,3.4470528918774512
2021-06-20,2.334219996522853,3.466336736071345
2021-06-19,2.344111557480545,3.463590912487349
2021-06-18,2.44506330158459,3.502375677003003
2021-06-17,2.433739443728229,3.569828765648025
2021-06-16,2.499352313116129,3.693281124147874
2021-06-15,2.345026526094957,3.5253325364928383
2021-06-14,2.274241881911936,3.440229505406032
2021-06-13,2.292149960627052,3.4636689577378252
2021-06-12,2.332946097481263,3.470444631675946
2021-06-11,2.292169898671857,3.3996621850739333
2021-06-10,2.281282648137589,3.378788788198153
2021-06-09,2.227478273391459,3.431164958513402
2021-06-08,3.119739670213935,3.593709584963802
2021-06-07,2.8966827987655153,3.433667487102171
2021-06-06,2.908075904254045,3.4503531979636852
2021-06-05,2.872891455156633,3.6265050259074263
2021-06-04,2.7268234281797703,3.344864880064956
2021-06-03,2.7852129197093483,3.312370956385338
2021-06-02,3.036903899068432,3.816990162777053
2021-06-01,2.669555389505075,3.927210720715835
2021-05-31,2.88494432418439,3.31892800570781
2021-05-30,3.081844446340434,3.388442140040295
2021-05-29,3.3299348905926163,3.553027055916174
2021-05-28,2.543372839186205,3.939719021230376
2021-05-27,2.332042369072075,3.61777665349565
2021-05-26,4.059641831488191,3.899722260347078
2021-05-25,4.255037295194641,3.9673178605971002
2021-05-24,8.282190328879118,8.148678449021979
2021-05-23,4.295783600824037,4.103986655983594
2021-05-22,4.261852604563611,4.147262480692175
2021-05-21,4.826335111961565,5.469171423849144
2021-05-20,5.732300153863484,6.686069388449288
2021-05-19,5.45776741853912,5.218166142731586
2021-05-18,5.076216160555109,4.493912797471014
2021-05-17,6.706823921732574,7.975543240690486
2021-05-16,6.536564893470158,7.408879670396721
2021-05-15,7.983197270736437,10.907255347530823
2021-05-14,8.327947913373261,8.922196515177678
2021-05-13,8.603413170775518,12.29118738389028
2021-05-12,8.609318751585409,12.432324950733683
2021-05-11,7.881869404318277,11.729354709018144
2021-05-10,6.725472712026211,8.979794166026451
2021-05-09,7.244708742344891,10.528564738795877
2021-05-08,7.705159176537095,11.696526068621129
2021-05-07,8.170177522993104,12.590083236777726
2021-05-06,7.569099584838969,10.965432942408395
2021-05-05,6.524740036767238,8.397307339475908
2021-05-04,7.501888903455106,11.416463228954791
2021-05-03,4.954118845159908,5.263475009413179
2021-05-02,5.781235166261575,7.493559201896306
2021-05-01,5.644257464725596,7.322921986296553
2021-04-30,5.4770093533828375,7.21398382458353
2021-04-29,5.826746909593602,8.525762609758274
2021-04-28,5.171970122284,7.332881669666292
2021-04-27,5.601816426867256,9.36291175352936
2021-04-26,6.214021098452375,12.376274493062072
2021-04-25,5.825845235070482,11.605131238495177
2021-04-24,5.694618673242198,9.952327387464209
2021-04-23,7.073067173987737,14.735490212180514
2021-04-22,6.874401818383957,15.014295799197086
2021-04-21,6.50110038159203,12.57953376074234
2021-04-20,8.43172502523581,27.84999333357853
2021-04-19,7.763033658327987,16.815625584240355
2021-04-18,11.08443386279555,30.575646435550784
2021-04-17,8.506418564299524,25.13113023237075
2021-04-16,13.234176179062715,40.98537286552018
2021-04-15,10.604388245447392,28.96312188725831
2021-04-14,9.812694905469204,26.59115427005936
2021-04-13,9.340124153206041,19.77315267509465
2021-04-12,10.69170466421462,28.595077200242994
2021-04-11,11.097139823124788,26.764039309037447
2021-04-10,7.289562602359849,17.567843546031405
2021-04-09,7.154451025271109,16.68035340790853
2021-04-08,6.708794616243618,12.904691473629427
2021-04-07,8.399332151788215,20.22053071890561
2021-04-06,7.425573908423543,18.719076655776245
2021-04-05,9.501005308571136,21.98830767235948
2021-04-04,11.102146507441642,31.87168091974155
2021-04-03,7.944980613585872,19.153485164242362
2021-04-02,7.73964609821327,19.08175504547759
2021-04-01,8.750721229207695,23.819679565352892
2021-03-31,7.096839104767408,17.280080305595188
2021-03-30,6.7886784649461624,13.437618809276644
2021-03-29,5.239410186667283,8.179702660882217
2021-03-28,6.750118848997046,16.624158762305086
2021-03-27,5.555013887155426,13.267662357452238
2021-03-26,6.15007894809341,13.888679086122373
2021-03-25,6.706373663781952,15.715711303797624
2021-03-24,7.53172666657376,18.88411575318025
2021-03-23,9.968434632026046,24.771447764660525
2021-03-22,6.599375511442967,18.72304050400311
2021-03-21,7.327334614030832,19.080908249268287
2021-03-20,8.202865708969624,23.737538182013623
2021-03-19,9.047384410376253,28.569226152667497
2021-03-18,10.025441712074873,29.219285704473187
2021-03-17,8.596301346677683,24.25230042155525
2021-03-16,7.160552261395662,19.86482884651043
2021-03-15,6.828439591218138,17.883037851513723
2021-03-14,7.73198796082124,21.605053470667954
2021-03-13,7.583581845613667,20.73381472610418
2021-03-12,8.99036728647225,23.370405495214694
2021-03-11,12.234191796648279,37.991767796839575
2021-03-10,10.75539933012257,31.77413958004997
2021-03-09,11.536514020688404,32.8948498597321
2021-03-08,16.338434379209243,40.675216275942994
2021-03-07,5.884019418733681,8.539993119285862
2021-03-06,5.717046093769489,7.9650720770155
2021-03-05,8.233989423431321,18.120788014612227
2021-03-04,6.926115146978076,17.171504637430484
2021-03-03,6.095771359606646,14.821033596490134
2021-03-02,6.008946897179243,15.68168900426848
2021-03-01,6.246313260508232,17.319495211462492
2021-02-28,6.372534214350488,12.812989525912352
2021-02-27,5.749071915678686,10.634845957455592
