,lend_rate,borrow_rate
2021-06-27,2.297670995548772,2.300591535510106
2021-06-26,2.319197324584643,2.322120854804243
2021-06-25,2.347181380615026,2.350422646848981
2021-06-24,2.328661306039698,2.331985554498766
2021-06-23,2.324141368605122,2.327213972761371
2021-06-22,2.375555891277635,2.378740888423712
2021-06-21,2.595621323095579,2.599438863940716
2021-06-20,2.62777774808544,2.631393277442802
2021-06-19,2.577011326584316,2.580781865938328
2021-06-18,2.621071792383936,2.6251598035061363
2021-06-17,2.585318322979799,2.589292064507076
2021-06-16,2.486764865657655,2.490933880294015
2021-06-15,2.520624755873506,2.52490148024672
2021-06-14,2.5440810351129493,2.54812766628804
2021-06-13,2.526206052061098,2.530011120420085
2021-06-12,2.5630827764735793,2.566875231475626
2021-06-11,2.439020868508467,2.443080348239499
2021-06-10,2.639594667636662,2.643594970276554
2021-06-09,2.69924088000474,2.7030354716807343
2021-06-08,2.715048022496334,2.718912772130902
2021-06-07,2.740835979493075,2.745089118054213
2021-06-06,2.742055168634468,2.746261783202141
2021-06-05,2.742363786871832,2.7468051571077132
2021-06-04,2.727407852010037,2.732274547326393
2021-06-03,2.71950978238184,2.724199642401778
2021-06-02,2.705875103965091,2.71061644978154
2021-06-01,2.62709481855327,2.6319080698423223
2021-05-31,2.611443015324506,2.615735932154341
2021-05-30,2.49851346873507,2.618829296258568
2021-05-29,2.619042425489946,2.745776088557683
2021-05-28,2.677088845822764,2.8078435935640753
2021-05-27,2.70119593096758,2.833355241124999
2021-05-26,2.640949669009203,2.783861788962056
2021-05-25,2.618688622730029,2.758835570788043
2021-05-24,2.5310494942640123,2.662254384405196
2021-05-23,2.6785624570087023,2.822595271480383
2021-05-22,2.747182048948901,2.89710265997162
2021-05-21,2.906843706112788,3.069079113933327
2021-05-20,2.981691712414417,3.150917781468118
2021-05-19,4.768385290481691,5.236305976776723
2021-05-18,4.918249639822348,5.398892075223244
2021-05-17,5.653835638572537,6.200923569524682
2021-05-16,6.604448095951362,7.2789708434595415
2021-05-15,7.411613617951291,8.144638344213087
2021-05-14,5.910106260815072,6.481421142395441
2021-05-13,6.096854320473359,6.663183324120466
2021-05-12,5.633444386098459,6.193091513782435
2021-05-11,4.9780465627764805,5.463882416759205
2021-05-10,4.927594923913902,5.409976650304502
2021-05-09,5.484832476897832,6.01910975642994
2021-05-08,5.409005177415692,5.9335289060633265
2021-05-07,5.197377442405922,5.702808890200787
2021-05-06,5.271245411379827,5.804888205225788
2021-05-05,5.583415065102506,6.096393065484428
2021-05-04,4.919870795438959,5.368117920975179
2021-05-03,3.72025059829996,4.080946640565196
2021-05-02,4.024648410831127,4.598766669007951
2021-05-01,3.07471261873336,3.77147935031922
2021-04-30,3.047548333868074,3.743331831547862
2021-04-29,3.458611541801559,4.241908668304065
2021-04-28,3.172756616382232,3.8913578252041523
2021-04-27,3.321169892050766,4.071380416882181
2021-04-26,3.329652281690964,3.85297193783271
2021-04-25,3.370057483666863,3.902461865760904
2021-04-24,3.8231825992559862,4.494309418906102
2021-04-23,5.377465612862164,6.305916176289455
2021-04-22,5.5890358816478205,6.513677591104828
2021-04-21,3.77876531395454,4.507559270228036
2021-04-20,3.14328780318324,3.8848060902833312
2021-04-19,3.724993041056106,4.6000896510287035
2021-04-18,7.650001064772702,8.758422686428618
2021-04-17,7.913843233636602,9.11896416572537
2021-04-16,8.763533622352615,10.328806038362771
2021-04-15,6.780613771587361,7.877140421157716
2021-04-14,4.056873514637609,5.016689464047323
2021-04-13,4.349831561236454,5.5027023828256745
2021-04-12,7.844141774610022,9.309360017547169
2021-04-11,7.5580194207565405,9.739770287714446
2021-04-10,5.859589799420272,7.685912487960067
2021-04-09,5.957556472344386,7.785099625308068
2021-04-08,4.985635407898427,6.584813680094451
2021-04-07,7.317322301120396,9.574283903169437
2021-04-06,6.259907437987737,8.08888789532509
2021-04-05,8.55022749832915,10.919475409624711
2021-04-04,8.880612991668274,11.3582341200534
2021-04-03,6.045167250478704,7.879626984483969
2021-04-02,5.7500269801965285,7.504244026052952
2021-04-01,8.937897504214082,11.345290912948329
2021-03-31,8.898193817956555,11.271701314939671
2021-03-30,7.085789435301486,9.090184127736336
2021-03-29,7.7981218365422444,9.962548572827291
2021-03-28,9.62928818845738,10.649226078854245
2021-03-27,3.341023640191896,4.540398699578961
2021-03-26,4.009429599432347,4.950980484903712
2021-03-25,4.315556951677707,5.374534155335673
2021-03-24,2.358187666688936,2.860013912690167
2021-03-23,2.31471254111775,2.791110052489183
2021-03-22,2.369708630611759,2.846046476542087
2021-03-21,2.316491741575174,2.7775526315336023
2021-03-20,2.69058264970134,3.259459333582002
2021-03-19,3.463494542569013,4.252285404931222
2021-03-18,2.718460681632701,3.2505076772723642
2021-03-17,2.2885134336049058,2.69078013547209
2021-03-16,2.229192317899051,2.627013207174474
2021-03-15,2.250283751970659,2.6531652385767748
2021-03-14,2.111973216838933,2.494397298898691
2021-03-13,2.122648766112245,2.52559801710974
2021-03-12,3.697820370696904,4.490234572965181
2021-03-11,2.804266506852239,4.367534970460312
2021-03-10,2.01746500018287,3.361653324098783
2021-03-09,2.180799050378132,3.565843358903024
2021-03-08,1.233473857271252,2.339801679585796
2021-03-07,2.111708057609726,3.5223283675608013
2021-03-06,2.06609215815702,3.462158687168498
2021-03-05,1.909410016171452,3.26427496142933
2021-03-04,2.274220298264202,3.764365247667124
2021-03-03,1.6876801845910712,2.977655814915206
2021-03-02,2.026887696694081,3.443767224130099
2021-03-01,1.580645992582466,2.835568149031264
2021-02-28,2.33677122037353,3.850073957676075
2021-02-27,2.234563918723043,4.210633710580239
2021-02-26,2.6613781920749373,4.795303155533397
2021-02-25,2.9028460069307362,5.107651109842603
2021-02-24,2.001938874294138,3.955620664428267
2021-02-23,2.343667988841305,4.39378743912014
2021-02-22,2.866480476582907,5.024987421085143
2021-02-21,2.714210599794207,4.812940514128463
2021-02-20,2.932994811880977,5.0886567641011204
2021-02-19,2.855756493167482,4.989957824908955
2021-02-18,3.22798168756445,5.483104114375431
2021-02-17,2.58272568045257,4.612291144359086
2021-02-16,3.020830916096723,5.161762537855353
2021-02-15,3.372858564978197,5.63767948352262
2021-02-14,3.509661326704334,5.860473426108209
2021-02-13,3.573122194359488,5.941050977796409
2021-02-12,3.324983053584756,5.657968664079576
2021-02-11,3.948803414381728,6.45877383794595
2021-02-10,3.800582013006049,6.28925921400114
2021-02-09,3.872093828561135,6.306502905654625
2021-02-08,3.186419705433824,5.473132172794647
2021-02-07,3.283173600042136,5.707867009748988
2021-02-06,3.168602328734587,5.633947186205653
2021-02-05,3.505700595869221,6.028741750891848
2021-02-04,3.00978773677093,5.2759525180460916
2021-02-03,2.522597409082643,4.617975682125773
2021-02-02,3.338646561405451,5.683375370377641
2021-02-01,2.812596825150145,4.97833309044718
2021-01-31,2.776047087251371,4.941645343618914
2021-01-30,3.502745217814616,5.9346632119182985
2021-01-29,3.656075575943777,6.184536096801022
2021-01-28,3.05898594705658,5.3202364814632475
2021-01-27,2.491872411799056,4.499684643611755
2021-01-26,2.902750835583908,5.06630754469359
2021-01-25,2.698977172398299,4.6197361765791705
2021-01-24,2.525430181622584,4.385454589239934
2021-01-23,3.572649398996248,5.726113618084395
2021-01-22,2.845692093140598,4.8115058255149865
2021-01-21,2.361192693983796,4.245292449237037
2021-01-20,3.740859773775682,6.012027922048787
2021-01-19,4.270615418954883,6.708932914143818
2021-01-18,4.825879164989206,7.344527067187602
2021-01-17,4.486576532066854,6.7790250388417075
2021-01-16,4.807353951430044,7.217408372413994
2021-01-15,4.228047405593369,6.488940659661984
2021-01-14,3.4422127227016412,5.470904477724086
2021-01-13,3.253839861640132,5.174353170490351
2021-01-12,3.178269215326733,5.29746269417875
2021-01-11,2.771472405616857,4.764301500837491
2021-01-10,1.502767634760844,3.085680502408858
2021-01-09,3.085277298117141,5.10509722006411
2021-01-08,3.703966851652701,5.923680424703424
2021-01-07,3.142335953724501,5.195605673213629
2021-01-06,3.169669355977838,5.188311488919708
2021-01-05,3.39253673622545,5.491196360705471
2021-01-04,7.112975418305337,10.19864871432702
2021-01-03,6.393786547408457,9.158437243876925
2021-01-02,5.929150054219787,8.567488880622532
2021-01-01,4.641448732827256,7.002657914933493
2020-12-31,4.468706997899193,6.796052275677193
2020-12-30,3.6074226729358703,5.814449447412918
2020-12-29,2.9655293298075183,4.586502392114941
2020-12-28,4.993532895940771,7.057567120316874
2020-12-27,2.701651073321313,3.95384973301656
2020-12-26,2.426094744270059,3.574985735277408
2020-12-25,7.249087560433503,9.665209532013744
2020-12-24,2.654784277996347,3.7817539957221573
2020-12-23,4.502833635749445,6.119566061804934
2020-12-22,2.733911168130494,3.84696120927224
2020-12-21,4.251639654028877,5.78826525530478
2020-12-20,4.68387695599891,6.324955767280785
2020-12-19,4.815486853126172,6.543378736889527
2020-12-18,6.138124273665735,8.20732523681233
2020-12-17,3.806674906084459,5.21936090605941
2020-12-16,2.190566642922395,3.326396180066306
2020-12-15,2.142189870962186,3.28610858680906
2020-12-14,2.236361710218891,4.160543366078703
2020-12-13,2.656712039004285,4.843786076368102
2020-12-12,3.295910181785578,5.784451868744718
2020-12-11,3.39745627434627,6.040866836099993
2020-12-10,3.526556221653523,6.271145292830416
2020-12-09,1.9852375688655362,4.716265077899005
2020-12-08,2.052621224385994,4.896133414964596
2020-12-07,1.981123624037699,4.829105233714672
2020-12-06,2.237068375768917,5.141902592835711
2020-12-05,2.352189920221583,5.242074129625541
2020-12-04,2.5244815589523,5.8616080134869595
2020-12-03,2.166730304569237,4.9410224505756535
2020-12-02,3.829301430947334,7.443785987782531
2020-12-01,2.27822695584671,5.384092471518937
2020-11-30,2.95644728620516,6.272589366810324
2020-11-29,2.852578219458202,6.03482468482002
2020-11-28,2.405860422657739,5.439878561459652
2020-11-27,2.359525888140716,5.373340802123019
2020-11-26,2.5938680461994172,5.747614738322765
2020-11-25,2.655585912988533,5.882932145089747
2020-11-24,2.647625583149696,5.869080857546301
2020-11-23,2.728005915096542,5.8145151760973794
2020-11-22,5.181005557006527,9.40839727568906
2020-11-21,3.9986968072935842,7.669235055537132
2020-11-20,4.110060395000455,7.725121065471451
2020-11-19,4.1417304738658,7.432126840761217
2020-11-18,2.665502011414058,5.346531602989952
2020-11-17,2.193232977842624,4.619874274622353
2020-11-16,2.369614703257147,4.779876949205361
2020-11-15,2.69918789054847,4.991520414239146
2020-11-14,3.614008912488249,6.10476200079406
2020-11-13,8.414389651114899,12.655905461453639
2020-11-12,3.426294733508767,6.082633074019944
2020-11-11,2.721532166530804,5.222948477199661
2020-11-10,2.16748404997794,3.360765190670707
2020-11-09,3.034103670650637,4.503231561746243
2020-11-08,6.536950177962984,9.474482860241048
2020-11-07,2.826546409015893,4.232770801880888
2020-11-06,2.49818561511746,3.852068452724902
2020-11-05,2.5581256863166972,3.871430666384029
2020-11-04,2.217340837795371,3.490110129601992
2020-11-03,2.291264263894148,3.493143338504588
