,low_risk,med_risk,high_risk
2021-02-10,2.3386661496260785e-09,0.0,0.0
2021-02-11,0.03228931259096157,0.1153193397404948,1.2685565325832329
2021-02-12,0.06701422481665986,0.3338803688012604,2.35835315287315
2021-02-13,0.10193699572442938,0.4853104557971335,3.492759145199642
2021-02-14,0.13686190425923428,0.6377112630952126,4.54921109893715
2021-02-15,0.17308209211820724,0.8489089393855522,5.16076266778046
2021-02-16,0.20888688879752237,0.9076049175567391,5.12960075857319
2021-02-17,0.24490386329006242,0.9614287387915539,5.100415797923773
2021-02-18,0.28034437209231555,1.095790049788178,5.153646224419589
2021-02-19,0.3155953513236227,1.2547038087360818,5.410384599705395
2021-02-20,0.35047149792431753,1.4068144066875163,5.6464645432824625
2021-02-21,0.3848878906682387,1.5514105035429822,5.748657256628434
2021-02-22,0.41777073946619225,1.7037878262151764,6.035058651680458
2021-02-23,0.4515559542450944,1.7622329339250058,6.116150694328695
2021-02-24,0.48559339842267946,1.6402584961884799,5.4744920702910065
2021-02-25,0.5208108339159025,1.5134032585684594,5.280867252580691
2021-02-26,0.5539153106199279,1.1944103890414652,4.1340612161739045
2021-02-27,0.5870938590222323,0.8133420303694834,2.836706685048597
2021-02-28,0.6201307502335709,0.4696624272671386,1.6698681491794218
2021-03-01,0.6528454755750488,0.043688592792548775,0.11529241281121472
2021-03-02,0.6845092506476931,-0.12267229465830098,-0.49101213714946823
2021-03-03,0.7143767532390797,-0.1515772859257396,-0.3062520377955309
2021-03-04,0.7435980483088827,-0.16292945224317634,-0.3885923268811098
2021-03-05,0.772775427726387,-0.06267810400416352,-0.0826826321493428
2021-03-06,0.8009801943456125,0.04834866484056022,0.2186012726322133
2021-03-07,0.8286530274074408,0.23787700728584582,0.5733188042993334
2021-03-08,0.855687723012835,0.5444794731785692,1.3734482244093726
2021-03-09,0.8828723377187231,0.7980173388625644,2.2166543171814226
2021-03-10,0.9114158678437718,1.1427611867063945,3.105947881430552
2021-03-11,0.9402224156103216,1.3613286034807288,3.6164890433861103
2021-03-12,0.9696032699249173,1.6306460179806521,4.4086306404583695
2021-03-13,0.9992655953363254,1.8574756136875408,5.016576475507321
2021-03-14,1.0286566104365562,2.1165174369856175,5.975514426434941
2021-03-15,1.0583374157381797,2.2688787255523266,6.532048496216888
2021-03-16,1.0880361920831092,2.2759009067052745,6.263118650549359
2021-03-17,1.116946761155674,2.268039720785737,6.123555472315175
2021-03-18,1.1459200055664667,2.324993867279005,6.36382531242009
2021-03-19,1.1743258201666151,2.3222278225432262,6.361818006174644
2021-03-20,1.2025408122630097,2.3876024616624534,6.605801018824323
2021-03-21,1.2310260547946825,2.331371284711281,6.382494399787902
2021-03-22,1.2594687591453493,2.301696525573746,6.26802079538146
2021-03-23,1.2886145041046575,2.2524776203370322,6.121031514590825
2021-03-24,1.319618766923412,2.180414547454845,5.778845641811131
2021-03-25,1.350015825242508,2.0120967425370395,4.9113874346212185
2021-03-26,1.380024444607713,1.8803571517240982,4.200938803591271
2021-03-27,1.4098814812126932,1.8129702220793291,3.773748361633693
2021-03-28,1.4394498855642297,1.7559919167028397,3.351232529638139
2021-03-29,1.4691833573167514,1.7021096449080204,3.0035801594029863
2021-03-30,1.4982205728858986,1.8429394431418018,3.2427932709224763
2021-03-31,1.524813435707614,2.0093534316162334,3.5886162999961755
2021-04-01,1.55164962933695,2.3091633825270037,4.38035755586273
2021-04-02,1.5787793719455436,2.642193455659111,5.459524995619361
2021-04-03,1.6062092463065198,2.9954645729036145,6.319304647449059
2021-04-04,1.6338091512176192,3.239286372373698,6.783089731061665
2021-04-05,1.6613359299290664,3.541605186503176,7.486331313927451
2021-04-06,1.6889256344767176,3.760290682664845,8.107516056775609
2021-04-07,1.7162357836617588,3.9677890920914223,8.946110097314232
2021-04-08,1.743025433914255,4.034948690767692,9.172362725785462
2021-04-09,1.7692188444740538,4.131117905906365,9.386501824638401
2021-04-10,1.7948217289267063,4.112919911117146,9.391937717998985
2021-04-11,1.8200937328634268,4.227864855696993,9.909972053949133
2021-04-12,1.844999209304703,4.304413643287759,10.60736643945883
2021-04-13,1.8702367020086115,4.361778229338512,11.010342394206745
2021-04-14,1.8955872419013815,4.522554393861597,12.072429138603525
2021-04-15,1.9208989537903278,4.843519247534488,14.501647186108102
2021-04-16,1.9463422081304032,5.148530067211766,17.932949006710402
2021-04-17,1.9730956316227548,5.39710555587817,24.33017008382373
2021-04-18,2.0004444374975634,5.544962238811394,27.72056608670526
2021-04-19,2.0279934559925863,5.619931840022858,30.572038203470072
2021-04-20,2.05511176412557,5.652805092743819,33.679377354457074
2021-04-21,2.0818857054023994,5.6744037936529,35.37789698898683
2021-04-22,2.10918289297274,5.64922495169526,36.10640599645788
2021-04-23,2.1361527958922863,5.59799173625872,35.840052857897206
2021-04-24,2.1620676062899236,5.5633441417480896,34.37832021543309
2021-04-25,2.1871218482982897,5.4852928166680215,33.38876880531268
2021-04-26,2.211562572148793,5.527625978603794,32.3743302414789
2021-04-27,2.2354160967358325,5.7623741428962205,31.70274436768716
2021-04-28,2.2590608656372666,5.970007621283415,31.454147063163077
2021-04-29,2.2818820697134754,6.208573691833834,31.876454544548636
2021-04-30,2.304674531877353,6.421638505004111,32.55394222435959
2021-05-01,2.326882610237874,6.689748573203843,33.90427291772636
2021-05-02,2.349037881678697,7.126657234358802,36.0929284477001
2021-05-03,2.3712661752764745,7.504982747213177,38.08467607048834
2021-05-04,2.393607205325054,7.9917609950616395,40.26038742410245
2021-05-05,2.4170291909341444,8.300437163543023,42.6766769935673
