,bitcoin,ethereum,binancecoin,cardano,ripple,dogecoin,bitcoin-cash,litecoin,chainlink,ethereum-classic,compound,c_r_e_a_m_-finance,definer,dydx,nexo,celsius
2018-11-26,4367.617824065147,128.7243969175171,5.782891228624533,0.04449092605224385,0.4231154945155913,0.002339821771024784,212.1991182486192,32.888590393011356,0.33762538842528106,5.390490878769116,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-27,4213.721491211916,122.87294345768346,5.531541708682101,0.04208658446983426,0.40565143974577605,0.0022966133157990122,204.91283734920043,31.87880645986265,0.3176726266354678,5.125066648353814,1.000440867064944,1.0004605360696681,1.0001051819468707,1.0002769013034882,1.0003105377556554,1.0002310983386522
2018-11-28,4125.4662142808975,119.86698115104812,5.404402007129195,0.04084746022948383,0.39495455658678835,0.0022722253218303927,198.31561135655332,31.61887762829494,0.3095214554064963,4.978176198187177,1.0008801153902702,1.0009192842291914,1.0002098579053134,1.0005532007887332,1.0006211719450084,1.0004622500837466
2018-11-29,4076.008388110441,117.76317855067889,5.275251656078319,0.03997987559478131,0.3866215721765373,0.0022425517813826996,191.61344024492107,31.599106113510167,0.30200151136229897,4.864777371371025,1.001316536214414,1.0013750834539819,1.000313138425873,1.000830353150211,1.0009319025980055,1.0006934552476252
2018-11-30,4072.020796800648,116.56874973570895,5.221062527565972,0.03968754576873693,0.38002170030368887,0.0022192950050206705,187.28010517500292,31.863544159782396,0.3002892539898422,4.812642388558667,1.00174638108363,1.0018251354963843,1.0004153361359653,1.0011047321468447,1.001242729744602,1.0009247138426332
2018-12-01,4019.5614586612833,115.03340499258138,5.142798434543678,0.038945621178676816,0.3728866850626859,0.002189332337352626,182.2134412513416,31.799005350382938,0.299788017035071,4.724030839567386,1.0021627451190644,1.0022637969835566,1.0005160486163485,1.001372057843549,1.001553653414763,1.001156025881118
2018-12-02,4061.5238886671223,115.5780946750546,5.157642399050891,0.03933385172731486,0.3722696671465818,0.002187871439937341,181.08330318463467,32.47559286610066,0.30349324046626214,4.725572088081717,1.0025682443707695,1.0026933817217236,1.0006156617651651,1.0016334348665592,1.0018646736384629,1.0013873913754308
2018-12-03,4073.6320311679483,115.35223827878167,5.159674575778469,0.03981274028510825,0.3704843030682369,0.00218499090677834,178.89778808430887,32.79701701377452,0.30849588634873754,4.772116013772611,1.0029634963481717,1.0031141466675007,1.000713736884608,1.0018905816394819,1.002175790445685,1.0016188103379249
2018-12-04,4083.1914176703453,115.24450386126286,5.178324564202367,0.04020766113294027,0.3690270847154832,0.002190560566508427,175.61247950415333,32.94660170267762,0.30682118675309883,4.791843354336918,1.0033398402374725,1.0035187493641904,1.0008094509902652,1.0021386565874206,1.0024870038664222,1.0018502827809568
2018-12-05,4099.015459979618,115.16121406302258,5.310937819936446,0.040335609499394694,0.36763208730248687,0.0022067682252940772,171.57980369916967,32.90078863648831,0.3056672901533233,4.766697715866492,1.0036953491179577,1.003905581212686,1.000902414399402,1.0023774077409062,1.0027983139306766,1.0020818087168857
2018-12-06,4025.3652224660473,112.31330217269486,5.415254735345455,0.0392526540021999,0.3603035909369403,0.002197184922353419,163.4709269130501,32.10911416215581,0.29661798304906634,4.627361533349585,1.0040293319432847,1.0042740735706208,1.0009926167064356,1.0026065306372969,1.0031097206684596,1.0023133881580737
2018-12-07,3909.2635469264787,108.5126982515842,5.356276695876509,0.03763408929446087,0.34998333095634054,0.0021757735462450663,152.8603440956205,31.06899191932968,0.28095117485422577,4.423410279404305,1.004346091869746,1.0046278375169888,1.001080628638679,1.0028279395086135,1.0034212241097922,1.0025450211168858
2018-12-08,3823.3826951003543,105.59342211153157,5.276165310636443,0.03630156171888833,0.34130313412593594,0.002164732497386691,143.09723901720307,30.075487634752157,0.26647932301288696,4.316407367765922,1.00465060381923,1.0049716185085529,1.0011681658484708,1.0030409800390179,1.0037328242847041,1.00277670760569
2018-12-09,3714.1158433378887,101.67592169155637,5.195089939478784,0.034722728993997976,0.33156451036034096,0.002141391584114942,132.61614302445784,28.671198445016483,0.2530988562787178,4.169604231757842,1.004941121784662,1.0053038853252274,1.0012549104892812,1.0032451192078622,1.0040445212232352,1.0030084476368568
2018-12-10,3632.1091126598426,98.47389941863578,5.134322316763027,0.03327018139849848,0.3235651678132682,0.002120624662136754,123.4370155583312,27.519903607750127,0.24435709048477244,3.995476465346402,1.0052189919660535,1.0056259166271462,1.0013413022232462,1.0034401165511575,1.004356314955434,1.00324024122276
2018-12-11,3568.533284895272,95.78488080202014,5.065629778344268,0.03196950609159401,0.3164289527403233,0.002108150678984132,115.0472740623554,26.550608572615282,0.23573602594365367,3.8999918815622245,1.0054841442379951,1.0059378628560853,1.0014277768226294,1.0036247019411846,1.0046682055113585,1.0034720883757755
2018-12-12,3487.8355658020587,92.64180875963164,4.920565172974114,0.03079041323376815,0.3087827636642845,0.0020882263008522414,107.10296885663959,25.463549809446725,0.2270574643065708,3.8011176518186898,1.0057349172080652,1.0062386927520663,1.0015149251080946,1.0037959918852188,1.0049801929210762,1.003703989108283
2018-12-13,3443.0367239639613,90.76564588216117,4.765661802647041,0.030192182139314412,0.3036548887749822,0.0020734880586718686,101.77223295257961,24.747268410207454,0.2220509593569746,3.7770046531350414,1.0059711119133057,1.006528476267206,1.0016032076096237,1.0039525145667771,1.005292277214664,1.0039359434326647
